state,year,oberate,unerate,pcspend,fastfood,bachelors,pop,income
Alaska,2020,31.9,8.2,47762,439,31.9,732.923,84260
Arizona,2020,30.9,7.7,40605,5025,33,7179.943,75620
Arkansas,2020,36.4,6.1,34979,2142,24.9,3014.195,57240
California,2020,30.3,10.2,47720,31771,36.9,39501.653,87530
Colorado,2020,24.2,6.9,47355,4309,44.2,5784.865,94440
Connecticut,2020,29.2,7.8,51237,2664,42.4,3597.362,89540
Delaware,2020,36.5,7.6,45032,779,34.7,992.114,78930
District of Columbia,2020,24.3,8.0,69929,827,63.6,670.868,99440
Florida,2020,28.4,8.2,44655,14172,33.7,21589.602,65110
Georgia,2020,34.3,6.5,38419,8997,34.8,10729.828,66810
Hawaii,2020,24.5,12.0,44038,1378,35.5,1451.043,91110
Idaho,2020,31.1,5.5,34689,1225,30.9,1849.202,75220
Illinois,2020,32.4,9.2,43902,10257,37.6,12786.58,83790
Indiana,2020,36.8,7.2,38193,4940,28.9,6788.799,75310
Iowa,2020,36.5,5.1,37898,2068,29.5,3190.571,77570
Kansas,2020,35.3,5.7,38541,2087,35.1,2937.919,82380
Kentucky,2020,36.6,6.4,36486,3279,27.4,4507.445,63980
Louisiana,2020,38.1,8.7,37393,3616,27.2,4651.664,57700
Maine,2020,31,5.0,46170,982,33.5,1363.557,71800
Maryland,2020,31,6.7,43670,5321,43.1,6173.205,106900
Massachusetts,2020,24.4,9.4,52701,5227,46.9,6995.729,98980
Michigan,2020,35.2,10.0,41154,7275,32.1,10069.577,72590
Minnesota,2020,30.7,6.3,43668,3678,37.9,5709.852,88770
Mississippi,2020,39.7,7.9,32751,2324,24.5,2958.141,50880
Missouri,2020,34,6.1,40251,4411,31.9,6153.998,70090
Montana,2020,28.5,5.8,42067,764,34.6,1087.075,63960
Nebraska,2020,34,4.1,40371,1400,33.3,1962.642,81440
Nevada,2020,28.7,13.5,40581,2672,28,3115.648,68950
New Hampshire,2020,29.9,6.7,51357,1031,40.2,1378.587,100200
New Jersey,2020,27.7,9.5,48875,7095,43.1,9271.689,96430
New Mexico,2020,30.9,8.1,35031,1541,30.1,2118.39,57380
New York,2020,26.3,9.9,47813,17253,39.5,20108.296,77400
North Carolina,2020,33.6,7.1,39063,8033,34.8,10449.445,68120
North Dakota,2020,33.1,5.1,45008,487,31.8,779.518,72270
Ohio,2020,35.5,8.2,39700,9672,30.6,11797.517,68060
Oklahoma,2020,36.4,6.2,34747,2919,27,3964.912,59150
Oregon,2020,28.1,7.6,42277,2995,36.3,4244.795,86630
Pennsylvania,2020,31.5,9.1,44184,9353,34,12994.44,79800
Rhode Island,2020,30.1,9.2,43199,868,38,1096.345,90380
South Carolina,2020,36.2,6.0,38134,3813,31.7,5131.848,68020
South Dakota,2020,33.2,4.3,41284,552,28.4,887.799,79120
Tennessee,2020,35.6,7.4,37751,5391,30.7,6925.619,61970
Texas,2020,35.8,7.7,40235,22469,33.2,29232.474,77110
Utah,2020,28.6,4.7,38228,2473,36.9,3283.785,94680
Vermont,2020,26.3,5.6,47168,400,42.1,642.893,75810
Virginia,2020,32.2,6.2,42913,6835,42,8636.471,92670
Washington,2020,28,8.5,46208,4884,38.4,7724.031,91710
West Virginia,2020,39.1,8.2,37395,1287,23.1,1791.42,58580
Wisconsin,2020,32.3,6.3,40430,3730,31.8,5896.271,75980
Wyoming,2020,30.7,5.8,44286,344,28.2,577.605,73780
Alabama,2021,39.9,3.4,39174,4152,27.4,5049.846,61390
Alaska,2021,33.5,6.4,53982,452,32.8,734.182,87490
Arizona,2021,31.3,4.9,46023,5153,32.4,7264.877,76370
Arkansas,2021,38.7,4.0,39231,2181,25.3,3028.122,54760
California,2021,27.6,7.3,54838,32250,36.2,39142.991,87960
Colorado,2021,25.1,5.4,54126,4401,44.4,5811.297,91610
Connecticut,2021,30.4,6.3,56371,2758,42.1,3623.355,87300
Delaware,2021,33.9,5.3,50700,790,35.6,1004.807,74070
District of Columbia,2021,24.7,6.6,79105,829,63,668.791,97740
Florida,2021,28.4,4.6,51038,14729,33.2,21828.069,64410
Georgia,2021,33.9,3.9,43681,9244,34.6,10788.029,66310
Hawaii,2021,25,5.7,49543,1373,35.3,1447.154,88630
Idaho,2021,31.6,3.6,39639,1239,30.7,1904.314,82940
Illinois,2021,34.2,6.1,49429,10345,37.1,12686.469,85460
Indiana,2021,36.3,3.6,42565,5109,28.9,6813.532,75690
Iowa,2021,36.4,4.2,42247,2087,30.5,3197.689,78100
Kansas,2021,36,3.2,42438,2142,35.4,2937.922,81930
Kentucky,2021,40.3,4.7,41027,3374,27,4506.589,59980
Louisiana,2021,38.6,5.5,42115,3624,26.4,4627.098,61690
Maine,2021,31.9,4.6,51730,994,36,1377.238,76710
Maryland,2021,34.3,5.8,48549,5360,42.5,6174.61,105000
Massachusetts,2021,27.4,5.7,59267,5294,46.6,6989.69,93340
Michigan,2021,34.4,5.9,46019,7439,31.7,10037.504,69540
Minnesota,2021,32.4,3.4,48846,3771,38.9,5711.471,86740
Mississippi,2021,39.1,5.6,36681,2360,24.8,2949.586,50290
Missouri,2021,37.3,4.4,44827,4516,31.7,6169.823,68570
Montana,2021,31.8,3.4,48015,752,34.8,1106.227,70090
Nebraska,2021,35.9,2.5,45469,1459,34.4,1963.554,84220
Nevada,2021,31.3,7.2,46176,2765,27.6,3146.402,69380
New Hampshire,2021,30.6,3.5,56507,1044,40.2,1387.505,95800
New Jersey,2021,28.2,6.3,55472,7315,43.1,9267.961,95490
New Mexico,2021,34.6,6.8,39950,1535,30.1,2116.677,57650
New York,2021,29.1,6.9,53354,17347,39.9,19857.492,78630
North Carolina,2021,36,4.8,44287,8084,34.9,10565.885,67820
North Dakota,2021,35.2,3.7,49209,501,31.7,777.934,74280
Ohio,2021,37.8,5.1,44215,9962,30.7,11764.342,67600
Oklahoma,2021,39.4,3.8,38889,2951,27.9,3991.225,64800
Oregon,2021,30.4,5.2,47649,3027,36.3,4256.301,88260
Pennsylvania,2021,33.3,6.3,48874,9507,34.5,13012.059,78310
Rhode Island,2021,30.1,5.6,48711,879,36.5,1096.985,80850
South Carolina,2021,36.1,4.0,42930,3918,31.5,5193.266,67440
South Dakota,2021,38.4,3.1,45944,563,31.7,896.164,79680
Tennessee,2021,35,4.3,42741,5500,30.5,6968.351,67030
Texas,2021,36.1,5.7,45460,23026,33.1,29558.864,72680
Utah,2021,30.9,2.7,43850,2541,36.8,3339.113,94510
Vermont,2021,29,3.4,51197,421,44.4,646.972,82040
Virginia,2021,34.2,3.9,48003,6892,41.8,8657.365,86550
Washington,2021,28.8,5.2,52155,4975,39,7740.745,94510
West Virginia,2021,40.6,5.0,41273,1299,24.1,1785.526,50500
Wisconsin,2021,33.9,3.8,45491,3788,32.5,5880.101,75420
Wyoming,2021,32,4.5,48858,358,29.2,579.483,76620
